video_id,comment_text,likes,replies,comment_published_at,clean_comment
JFtlf8RoPZY,Day 158 of asking mr beast to start hide and seek videos,0,0,2026-03-22T14:11:48Z,day 158 of asking mr beast to start hide and seek videos
JFtlf8RoPZY,Swim while pushing the raft,0,0,2026-03-22T14:11:47Z,swim while pushing the raft
JFtlf8RoPZY,😢 love you,0,0,2026-03-22T14:11:39Z,love you
JFtlf8RoPZY,"If trhey used Nolan's mom as a boat, it would been so much easier, thats like the titanic",0,0,2026-03-22T14:11:35Z,if trhey used nolan s mom as a boat it would been so much easier thats like the titanic
JFtlf8RoPZY,Love from india ❤,1,0,2026-03-22T14:11:30Z,love from india
JFtlf8RoPZY,منخggjy,0,0,2026-03-22T14:11:29Z,ggjy
JFtlf8RoPZY,Respect for Darius carrying the whole team.,2,0,2026-03-22T14:11:27Z,respect for darius carrying the whole team
JFtlf8RoPZY,This video just Proved that cameraman never dies hahahaha,0,0,2026-03-22T14:11:26Z,this video just proved that cameraman never dies hahahaha
JFtlf8RoPZY,Puede ser la Isla de Jeffrey Tremstein,0,1,2026-03-22T14:11:26Z,puede ser la isla de jeffrey tremstein
JFtlf8RoPZY,"Water melting point 100°
Plastic melting point 200° 
SO NOT MIX IN WATER PALSTIC 
ONLY PALSTIC HEAT TO MELTING",0,0,2026-03-22T14:11:22Z,water melting point 100 plastic melting point 200 so not mix in water palstic only palstic heat to melting
JFtlf8RoPZY,The wood just happen to be perfectly cut in the jungle?,0,0,2026-03-22T14:11:21Z,the wood just happen to be perfectly cut in the jungle
JFtlf8RoPZY,"мг у макса(с команды егорика) появился новый соперник, теперь ждем выживание 1 на 1",0,0,2026-03-22T14:11:21Z,1 1
JFtlf8RoPZY,77ㅓ억 짭짭스,0,0,2026-03-22T14:11:19Z,77
JFtlf8RoPZY,t,0,0,2026-03-22T14:11:18Z,t
JFtlf8RoPZY,How our parents tell us how they went to school:,0,0,2026-03-22T14:11:08Z,how our parents tell us how they went to school
JFtlf8RoPZY,"""A couple youtubers building a camp.""

YOUTUBERS ARE A BROAD GROUP",0,0,2026-03-22T14:11:05Z,a couple youtubers building a camp youtubers are a broad group
JFtlf8RoPZY,1:24 where is mack?? Maxwell??,0,0,2026-03-22T14:11:05Z,1 24 where is mack maxwell
jCE1Ol3PYDs,"Colin was the first to Slack me the correct code, so we flew him out to unlock the $1,000,000 vault. Thanks to Salesforce for making this possible and giving millions a shot at winning!",12556,1000,2026-03-20T15:58:21Z,colin was the first to slack me the correct code so we flew him out to unlock the 1 000 000 vault thanks to salesforce for making this possible and giving millions a shot at winning
jCE1Ol3PYDs,Maine aapko subscribe kar rakha fir bhi aap mujhe kuchh Nahin dete,1,0,2026-03-22T14:09:58Z,maine aapko subscribe kar rakha fir bhi aap mujhe kuchh nahin dete
jCE1Ol3PYDs,5hi,0,0,2026-03-22T14:09:53Z,5hi
jCE1Ol3PYDs,I don't believe 😅,0,0,2026-03-22T14:09:14Z,i don t believe
jCE1Ol3PYDs,Please support me guys 🙏🙏🙏,0,0,2026-03-22T14:06:28Z,please support me guys
jCE1Ol3PYDs,Yo lo intenté es difícil adivine15,0,0,2026-03-22T14:06:21Z,yo lo intent es dif cil adivine15
jCE1Ol3PYDs,Fake,1,0,2026-03-22T14:05:13Z,fake
jCE1Ol3PYDs,MrBeast nice man ❤,0,0,2026-03-22T14:02:35Z,mrbeast nice man
jCE1Ol3PYDs,"""MrBeast, say hi to me, I'm your number one fan""",0,0,2026-03-22T14:01:34Z,mrbeast say hi to me i m your number one fan
jCE1Ol3PYDs,Mr. Beast can I some money.,0,0,2026-03-22T14:01:30Z,mr beast can i some money
jCE1Ol3PYDs,Bro got Lester from gta😂,0,0,2026-03-22T14:00:44Z,bro got lester from gta
jCE1Ol3PYDs,Yoo,0,0,2026-03-22T13:59:52Z,yoo
jCE1Ol3PYDs,Please come to India for 15 K sub❤❤,0,0,2026-03-22T13:59:33Z,please come to india for 15 k sub
